_01312023_060411,pula: red,red cube,-0.5203388,1.132283,-1.352356,0.05007429,-0.4985351,-0.07015745,0.05400002,0.05400001,0.05400001
_01312023_060411,parisukat: square,green cube,2.045048,0.6306224,-0.9284327,-0.09434068,2.382377,0.1645855,0.05400006,0.054,0.05400005
_01312023_060411,none,yellow cube,49.38,1,-13.43,0,0,0,0.3,0.3,0.3
_01312023_060411,none,white Cube,48.7,1,-12.77,0,0,0,0.3,0.3,0.3
_01312023_060411,none,black cube,47.89,1,-12.7,0,0,0,0.3,0.3,0.3
_01312023_060411,none,blue Cube,49.34,1,-12.78,0,0,0,0.3,0.3,0.3
_01312023_060411,none,purple Cube,47.84,1,-11.93,0,0,0,0.3,0.3,0.3
_01312023_060411,none,orange cube,48.7,1,-11.91,0,0,0,0.3,0.3,0.3
_01312023_060411,none,Hotdog,50.19,1.06,-12.83,0,0,0,2,2,2
_01312023_060411,pababa: down,Shark,0.5237979,0.6960006,0.1205187,-0.4433682,-0.086988,1.595363,0.03600002,0.036,0.03600001
_01312023_060411,itim: black,TV,1.973367,0.5561253,-0.6685426,0.1249687,3.131652,0.2334556,0.1800001,0.18,0.18
_01312023_060411,none,flower,50.26,0.97,-7.98,0,0,0,8,8,8
_01312023_060411,malungkot: sad,FantasyBee,1.225281,1.039956,0.6510715,-0.2931488,2.179544,-0.07022608,0.18,0.18,0.18
_01312023_060411,none,AcousticGuitar,48.84,0.74,-9.06,1.570796,0,0,2,2,2
_01312023_060411,malamig: cold,Snowman,0.3218891,-0.000538677,1.083025,-0.262469,1.126441,0.6348262,14.4,14.4,14.40001
_01312023_060411,mapurol: blunt,Clouds,0.9086187,0.4528323,1.336045,-0.09304041,2.43256,0.1405556,0.000900001,0.0009,0.000900001
_01312023_060411,manipis: narrow,Table,0.9844341,0.7421253,0.04951832,-1.259598,0.3152397,1.017306,1.08,2.340001,2.34
_01312023_060411,none,House,48.34,0.429,-7.33,0,0,0,0.3,0.3,0.3
_01312023_060411,none,Soccer Ball,49.73,0.86,-9.84,0,0,0,3,3,3
_01312023_060411,maliit: small,cat,2.144408,0.5334099,-0.4896595,0.1489858,1.985746,0.1016598,0.7200004,0.72,0.7200003
_01312023_060411,none,Cheese,52.8,0.73,-10.11,0,0,0,2,2,2
_01312023_060411,none,GoldCoins,50.98,0.79,-11.6,0,0,0,10,10,10
_01312023_060411,none,Banana,48.61,0.69,-10.38,0,0,0,2,2,2
_01312023_060411,pataas: up,Tree,49.33,0.981,-12.165,0,0,0,150,150,150
_01312023_060411,matamis: sweet,Watermelon,2.030859,0.5940825,-1.096355,-0.07080141,2.965052,0.5154064,0.05400001,0.05400001,0.05400001
_01312023_060411,madilim: dark,book,1.078006,0.4734619,1.012735,0.251138,1.826493,0.7743911,0.5400001,0.54,0.5400001
_01312023_060411,none,Axe,53.63,1.73,-6.66,-1.570796,0,0,1,1,1
_01312023_060411,none,StopSign,54.39,0.67,-6.92,0,0,0,0.2,0.2,0.2
_01312023_060411,matigas: hard,Crystals,3.660371,5.330666,2.012653,-0.06345926,2.046046,0.4193542,0.03600001,0.036,0.03600001
_01312023_060411,none,Clock,-0.3492102,1.463354,1.377775,0.255312,2.631323,0.09570043,0.54,0.54,0.54
_01312023_060411,mabagal: slow,Car,0.1061841,0.9469104,2.567099,0.03998994,0.2738273,-0.06652653,0.03600001,0.036,0.03600001
_01312023_060411,none,Airplane,51.38,0.74,-7.5,0,0,0,0.1,0.1,0.1
_01312023_060411,none,Heart,2.476972,-0.6803824,0.9659997,-1.315207,1.324745,0.9308701,0.09000005,0.09000003,0.09000004
Heart<><><><><><> this is the last item, cut here. <><><><><><>,,,,,,,,,,
