Timestamp,tooltip,object_name,position,rotation,scale
01_31_04:717_32,none,red cube,47.94__1__-13.42,0__0__0,0.3__0.3__0.3
01_31_04:717_32,none,green cube,48.7__1__-13.4,0__0__0,0.3__0.3__0.3
01_31_04:717_32,none,yellow cube,49.38__1__-13.43,0__0__0,0.3__0.3__0.3
01_31_04:717_32,none,white Cube,48.7__1__-12.77,0__0__0,0.3__0.3__0.3
01_31_04:717_32,none,black cube,47.89__1__-12.7,0__0__0,0.3__0.3__0.3
01_31_04:717_32,none,blue Cube,49.34__1__-12.78,0__0__0,0.3__0.3__0.3
01_31_04:717_32,none,purple Cube,47.84__1__-11.93,0__0__0,0.3__0.3__0.3
01_31_04:717_32,none,orange cube,48.7__1__-11.91,0__0__0,0.3__0.3__0.3
01_31_04:717_32,masarap: delicious,Hotdog,54.3157__0.9555982__-3.04674,-0.02340411__0.8814907__0.05347679,2__2__2
01_31_04:717_32,nakakatakot: scary,Shark,46.4372__-2.035241__-1.072426,0.3195295__0.01812406__0.1927394,0.3__0.3__0.3
01_31_04:717_32,none,TV,51.8__0.664__-9.13,0__0__0,1__1__1
01_31_04:717_32,none,flower,50.26__0.97__-7.98,0__0__0,8__8__8
01_31_04:717_32,none,FantasyBee,47.95__0.55__-9.64,0__0__0,1__1__1
01_31_04:717_32,matangkad: tall,AcousticGuitar,61.70235__1.053865__-11.02938,0.1061753__0.8499227__-0.4469147,1.958468__1.958468__1.958468
01_31_04:717_32,puti: white,Snowman,49.31253__-1.68469__-1.236476,-0.1507312__0.2246789__0.5156133,80__80__80
01_31_04:717_32,bilog: round,Clouds,49.29229__-0.4070592__-14.64464,0.02270892__0.005595196__0.1940061,0.005__0.005__0.005
01_31_04:717_32,none,Table,53.75__0.62__-11.86,-0.709268__0__0,8__18__18
01_31_04:717_32,none,House,48.34__0.429__-7.33,0__0__0,0.3__0.3__0.3
01_31_04:717_32,ilalim: under,Soccer Ball,59.18811__-4.394861__-9.702466,0.407184__0.7599518__0.3046206,3__3__3
01_31_04:717_32,nakakatawa: funny,cat,56.65594__2.598142__-6.758228,-0.1005422__0.7281661__-0.105599,4__4__4
01_31_04:717_32,bughaw: blue,Cheese,61.66222__-2.336716__-3.664096,0.4290394__0.8195337__0.1560984,2__2__2
01_31_04:717_32,maliwanag: bright,GoldCoins,50.41287__-2.631023__-0.2390273,0.4163168__0.2683169__0.2237155,10__10__10
01_31_04:717_32,none,Banana,48.61__0.69__-10.38,0__0__0,2__2__2
01_31_04:717_32,none,Tree,49.33__0.981__-12.165,0__0__0,150__150__150
01_31_04:717_32,none,Watermelon,47.77__0.61__-11.21,0__0__0,0.3__0.3__0.3
01_31_04:717_32,none,book,50.2__0.742__-11.51,0__0.1647534__0,3__3__3
01_31_04:717_32,matulis: sharp,Axe,51.33482__1.656362__-1.970863,-0.6707622__-0.03224945__0.005985934,2__2__2
01_31_04:717_32,ibabaw: over,StopSign,54.39__0.67__-6.92,0__0__0,0.3__0.3__0.3
01_31_04:717_32,none,Crystals,49.71555__0.8551922__-11.10298,0.05012461__-0.1905406__0.249423,0.2204521__0.2204521__0.2204521
01_31_04:717_32,none,Clock,51.7__1.31__-10.58,0__1__0,3__3__3
01_31_04:717_32,mabilis: fast,Car,55.12573__0.6887892__-3.265359,0.09357977__0.2423706__0.008544982,0.3__0.3__0.3
01_31_04:717_32,malawak: wide,Airplane,57.25075__3.393739__-9.828956,-0.2291838__0.4457218__0.1757045,0.2__0.2__0.2
01_31_04:717_32,malambot: soft,Heart,62.07177__0.8410195__-6.470666,-0.1609476__0.65989__0.6378409,0.5__0.5__0.5
